model,location,target_type,period_cat,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median
EuroCOVIDhub-ensemble,DE,Cases,1,22024.0355434783,9825.82684782609,857.438043478261,11340.7706521739,-0.0504347826086957,0.4065,33892.85
EuroCOVIDhub-ensemble,DE,Deaths,1,162.399673913043,106.47902173913,11.9869565217391,43.9336956521739,0.110434782608696,0.22,249.175
EuroCOVIDhub-ensemble,PL,Cases,1,33913.7554130435,7975.52606521739,245.891304347826,25692.3380434783,-0.296086956521739,0.74225,49258.375
EuroCOVIDhub-ensemble,PL,Deaths,1,227.183673913043,156.9315,2.16195652173913,68.0902173913044,0.139782608695652,0.305,300.45
EuroCOVIDhub-ensemble,DE,Cases,2,3103.4155326087,1438.34379347826,952.738043478261,712.333695652174,0.0256521739130435,-0.0975,4759.1
EuroCOVIDhub-ensemble,DE,Deaths,2,39.01475,24.7310543478261,5.90326086956522,8.3804347826087,0.162608695652174,-0.01425,50.275
EuroCOVIDhub-ensemble,PL,Cases,2,485.914815217391,233.472423913044,21.2217391304348,231.220652173913,0.0115217391304348,0.18575,778.475
EuroCOVIDhub-ensemble,PL,Deaths,2,21.5220108695652,14.5796195652174,1.01521739130435,5.92717391304348,0.208260869565217,0.2175,28.675
EuroCOVIDhub-ensemble,DE,Cases,3,14537.8791086957,4288.44323913043,3423.4,6826.03586956522,-0.104782608695652,0.03525,24038.275
EuroCOVIDhub-ensemble,DE,Deaths,3,49.4899239130435,23.233402173913,8.5054347826087,17.7510869565217,0.0539130434782609,0.102,76.9
EuroCOVIDhub-ensemble,PL,Cases,3,1611.26108695652,453.185,1155.86739130435,2.20869565217391,0.0756521739130435,-0.37125,2647.75
EuroCOVIDhub-ensemble,PL,Deaths,3,16.4901630434783,7.50103260869565,8.65869565217391,0.330434782608696,0.0256521739130435,-0.36075,29.6
EuroCOVIDhub-ensemble,DE,Cases,4,56176.7301847826,11504.2182282609,17636.6684782609,27035.8434782609,-0.252608695652174,-0.0405,86144.025
EuroCOVIDhub-ensemble,DE,Deaths,4,184.98525,78.6743804347826,31.3413043478261,74.9695652173913,-0.0221739130434783,0.02075,314.5
EuroCOVIDhub-ensemble,PL,Cases,4,21010.7700108696,5777.1765326087,2804.22391304348,12429.3695652174,-0.189565217391304,0.25175,33148.55
EuroCOVIDhub-ensemble,PL,Deaths,4,267.108369565217,113.84097826087,24.9304347826087,128.336956521739,0.03,0.05625,412.65
EuroCOVIDhub-ensemble,DE,Cases,5,144045.739445652,44259.9122717391,86732.0413043478,13053.7858695652,-0.0678260869565218,-0.227,197805.875
EuroCOVIDhub-ensemble,DE,Deaths,5,207.170706521739,106.192445652174,34.1054347826087,66.8728260869565,0.0539130434782609,0.09125,336.3
EuroCOVIDhub-ensemble,PL,Cases,5,90804.6530217391,11624.4301956522,31222.9456521739,47957.277173913,-0.261304347826087,-0.06925,120339.225
EuroCOVIDhub-ensemble,PL,Deaths,5,288.792576086957,125.512141304348,28.7173913043478,134.563043478261,0.0256521739130435,0.26625,461.8
EuroCOVIDhub-ensemble,DE,Cases,6,154763.337228261,72329.8144021739,55988.475,26445.047826087,0.0191304347826087,-0.084,253194.425
EuroCOVIDhub-ensemble,DE,Deaths,6,151.25277173913,104.381032608696,42.4108695652174,4.46086956521739,0.16804347826087,-0.24325,206.9
EuroCOVIDhub-ensemble,PL,Cases,6,8328.66644565218,2179.2425326087,1258.62826086957,4890.79565217391,-0.139565217391304,0.15475,13243.9
EuroCOVIDhub-ensemble,PL,Deaths,6,51.8466195652174,34.2792282608696,5.90978260869565,11.6576086956522,0.13,0.0275,72.15
EuroCOVIDhub-ensemble,DE,Cases,7,82703.552,47252.4183043478,28975.6793478261,6475.45434782609,0.101739130434783,-0.157,115219.275
EuroCOVIDhub-ensemble,DE,Deaths,7,77.3969565217391,54.4936956521739,16.8282608695652,6.075,0.162608695652174,-0.105,104.725
EuroCOVIDhub-ensemble,PL,Cases,7,2258.82254347826,328.417108695652,1922.64891304348,7.75652173913043,-0.0765217391304348,-0.44075,2952.975
EuroCOVIDhub-ensemble,PL,Deaths,7,5.71663043478261,4.06010869565217,1.42934782608696,0.227173913043478,0.249565217391304,-0.0625,7.7
EuroCOVIDhub-ensemble,DE,Cases,8,67728.5100326087,29181.27525,16913.7836956522,21633.4510869565,0.0452173913043478,0.015,108554.85
EuroCOVIDhub-ensemble,DE,Deaths,8,62.2156304347826,44.5580217391304,10.8086956521739,6.84891304347826,0.140869565217391,-0.075,82.475
EuroCOVIDhub-ensemble,PL,Cases,8,4715.74354347826,2339.37615217391,942.752173913044,1433.6152173913,0.0734782608695652,0.0835,7303.35
EuroCOVIDhub-ensemble,PL,Deaths,8,19.7242826086957,11.4058043478261,3.2195652173913,5.09891304347826,0.0702173913043478,0.02625,29.725
EuroCOVIDhub-ensemble,DE,Cases,9,139380.063619565,41198.9125326087,8923.29456521739,89257.8565217391,-0.0569565217391304,0.15325,204786.175
EuroCOVIDhub-ensemble,DE,Deaths,9,145.639945652174,76.0149456521739,25.6108695652174,44.0141304347826,0.0452173913043478,0.00875,219.625
EuroCOVIDhub-ensemble,PL,Cases,9,1551.09077173913,747.683163043478,163.890217391304,639.517391304348,-0.07,0.0775,2768.425
EuroCOVIDhub-ensemble,PL,Deaths,9,13.8314239130435,6.58251086956522,4.85108695652174,2.39782608695652,-0.0406521739130435,-0.1995,19.225
EuroCOVIDhub-ensemble,DE,Cases,10,31949.0442173913,15226.6931304348,1900.22282608696,14822.1282608696,0.0539130434782609,0.2315,45099.175
EuroCOVIDhub-ensemble,DE,Deaths,10,96.0782729468599,57.3898671497585,35.3852657004831,3.30314009661836,0.109951690821256,-0.301388888888889,139.611111111111
EuroCOVIDhub-ensemble,PL,Cases,10,1336.1312826087,487.743239130435,662.148913043478,186.239130434783,-0.0373913043478261,-0.06025,2085.175
EuroCOVIDhub-ensemble,PL,Deaths,10,9.97679951690821,6.42486714975845,0.955314009661836,2.59661835748792,0.147391304347826,0.0888888888888889,13.4166666666667
EuroCOVIDhub-ensemble,DE,Cases,11,10167.3604347826,8594.7952173913,627.188405797102,945.376811594203,0.223478260869565,-0.0333333333333334,10439.6666666667
EuroCOVIDhub-ensemble,DE,Deaths,11,55.1,47.4768115942029,0.391304347826087,7.23188405797102,0.252463768115942,0.2,58.3333333333333
EuroCOVIDhub-ensemble,PL,Cases,11,1387.49333333333,948.746956521739,382.630434782609,56.1159420289855,0.136521739130435,-0.233333333333333,2119.83333333333
EuroCOVIDhub-ensemble,PL,Deaths,11,9.71528985507246,7.20079710144928,1.85507246376812,0.659420289855073,0.151014492753623,-0.116666666666667,14.1666666666667
